Resp#,Response,Who,How,model1
428,racism,0,1,1
429,how race relations have occurred through the years,0,0,0
430,White people are the reason for racism.,1,0,0
431,An obscure academic theory that is mostly taught in law schools and sociology departments that the fascists in the Republican party are using to scare their base.,1,1,2
432,It is teaching our young people that some people are better than others.,0,1,1
433,I think that everyone should know about CRT,0,1,1
434,"The idea that racism informed the development of 20th century society, impacting minorities socially and economically.",0,0,0
435,it shouldn't be taught it causes division,0,1,1
436,A law school level class that examines how race has affected decisions like housing and transportation in order to marginalize minorities,0,0,0
437,A theory or belief that the United States was established and still is a systemicly racist nation.,0,0,0
438,Seeks to educate on the history and current state of institutional racism and race relations in the US,0,1,1
439,"An accurate way of teaching law and legal history that emphasizes how the US government and legal system is structured to benefit white people, especially white men.",1,1,2
440,A total crock of s#^%&,0,1,1
441,Racism,0,1,1
442,Racism,0,1,1
443,"teaching people/children about race and relations, how some races were treated many yrs ago, and some today by a few people, altho i feel this race theory is telling kids it is happening all over the place by lots of people which is not true.",1,1,2
444,"The US, has always been a racist nation.",0,0,0
445,racism is systematic,0,0,0
446,It’s a cross disciplinary intellectual movement that emerged from the civil rights era of the 1960s. Race is a social construct.,0,0,0
447,The notion that racism is systemic in American society.,0,0,0
448,Absurd,0,1,1
449,the fact that racist policies are baked into many of our public institutions.,0,0,0
450,Real history of African Americans/non-white people (American Indians/Latinos/Asians/ect) vs white/Caucasians not sugar coating/skipping of things that happened in history,1,1,2
451,A model of interpreting history according to race in which racial inequality is a controlling factor in events.,0,0,0
452,Vile push young people into believing propaganda meant turn people against one an other,0,1,1
453,talking about how some people are treated badly because of their race,0,0,0
454,it's actually something taught in I believe graduate law schools and approximately about how racism is inherent in our institutions;,0,0,0
455,Race is still a big factor in prejudicism,0,1,1
456,"A framework to view the major structures in society, law, economics, etc and the disparate impact seemingly racial neutral policies have on different races.",0,0,0
457,it should be taught,0,1,1
458,It is racism and causes a cultural divide and chaos,0,1,1
459,Theory that racism is systemic and institutional and part of laws,0,0,0
460,"Teaching reverse racism, teaching white children to hate themselves due to skin color which they cannot control and have nothing to do with being racist. Promoting a HUGE lie about racism",1,1,2
461,Teaching race as it was meant to be taught,0,1,1
462,Advanced study of race relations and how racism affects society and culture.,0,0,0
463,"plot to turn everyone racist,who never even considered race an issue before",0,1,1
464,None,0,0,0
465,i think it is good to show true history and all sides of the argument and allow people to make their own opinion. i do not believe that teaching oppressors and oppressed is the correct way to bring people together.,0,1,1
466,Racial inequality in society,0,0,0
467,Teach Ling the US is a force of evil,0,0,0
468,It is the discussion of institutional racism in the united states how it began and how it continues to oppress black people especially our legal system.,1,0,1
469,College level theory investigating the impact of race and institutional racism in all matters of policy and history,0,0,0
470,A theory that racism is being taught in society and returning to the world.,0,0,0
471,Over empathize racial problems which are more divisive.,0,1,1
472,Racist,0,1,1
473,"The theory that systemic differences in economics, law and society has perpetuated racism",0,0,0
474,That white suppress everybody and there all racist,1,1,2
475,A. Way. Of. Teaching. Our. Children,1,1,2
476,The theory that the influence and history of treating race and it's influence on history and the present.,0,0,0
477,It involves a set of graduate level theories that aren't ever taught at levels below that so it's a made up Republican boogeyman,1,1,2
478,Not sure,0,0,0
479,The study of how racism affects laws,0,0,0
480,people of color are systemically disadvantaged,0,0,0
481,Teaching the truth about how America was built on slavery.,0,1,1
482,Taking the blinders off of kids,1,1,2
483,Division,0,1,1
484,"Actual American history, not the white man's congratulations of himself.",1,1,2
485,TO TEACH OTHERS THEIR RACE THEORY,0,0,0
486,crt is racist.,0,1,1
487,folks unwilling to accept the country's racist history,0,1,1
488,Don't know,0,0,0
489,It is an offshoot of a legal theory that teaches about how racism is baked into the American system and inextricably linked with all of our systems.,0,0,0
490,Viewing history through the lens of inherent racial inequity,0,0,0
491,"A subject taught to adult students in a few specific college courses, about racial inequality and the root causes of it, and how it connects to other problems in society.",1,0,1
492,Critical race theory is understanding how ethnicity affects marginalized people and recognizing how to undo some of those negative impacts and why it matters.,0,1,1
493,Bull.,0,1,1
494,Don’t know,0,0,0
495,story about racism,0,0,0
496,Bogus topic,0,1,1
497,Not sure,0,0,0
498,A graduate level course that teaches about the systemic racial inequality baked into our institutions.,0,1,1
499,"The ridiculous liberal ideal that those of European ancestry still today oppress those of African heritage. The idea that those of African heritage can't be successful citizens because they are still, in today's day and age, being victimized by evil white folk.",1,1,2
500,Post civil rights era ross disciplinary intellectual movement that scholars taught theories on class-economic structure-law and the impact of US law perpetuated racism.,0,0,0
501,The problems over the years and how to change it,0,0,0
502,Teaching about the racist history of our country,0,1,1
503,no,0,0,0
504,Teaches other races how to hate each other black Spanish or white and divide race in the school system,1,1,2
505,Wrong and unacceptable in today society.,0,1,1
506,Good,9,1,1
507,A legal and academic theory about the history of racial injustice as it relates to the law and opportunity in society,0,0,0
508,"That some racist elements have always existed, and a study of history should be aware of that.",0,1,1
509,Fast,0,0,0
510,Is ok,0,1,1
511,Who knows,0,0,0
512,It's an idea,0,0,0
513,Scum,0,1,0
514,"It is targeting of a group of people base on race, identity, gender and essentially segregating them in society by placing them in disadvantage categories such as economically/financially, socially, and community to ultimately keep power over them.",0,1,1
515,The Critical Race Theory means it's critical,0,0,0
516,"it wants to put white kids on a guilt trip,BLM is a fraud",1,1,2
517,They learn it from they're parents if they are races,0,1,1
518,"Critical Race Theory is about slavery, a theory that is taught in advanced college programs",0,0,0
519,I'm not to sure I quite know what that is,0,0,0
520,the legal structure and laws are designed to favor one race over another,0,0,0
521,Education about the abuses of peoples.,0,1,1
522,teaching history and politics through the lens of racial inequality,0,0,0
523,Teaching the truth about how this country and much of the world was built on racism and slavery in order to stop repeating the mistakes of the past.,0,1,1
524,The way laws in this country were written and how it may affect minorities and just every day prejudices we may not even realize we have.,0,0,0
525,Telling the whole truth about race relation in this country,0,1,1
526,Marxism,0,1,1
527,jewish subversive brainwashing,1,1,2
528,learning,0,0,0
529,Racist,0,1,1
530,It's a way to make children become racists. It's complete bull.,1,1,2
531,The teaching of racial history between blacks and whites,1,0,1
532,Critical Race Theory is a sociological idea that examines how laws in the past that barred minorities from opportunities of white people still have repercussions today.,1,0,1
533,Not sure,0,0,0
534,Teaching history and civics through the lens of race instead of assuming everyone is white,1,1,2
535,a very technical legal theory about racial injustice,0,0,1
536,"Breaking people down into racial groups and making them mistrust others, especially whites",1,1,2
537,It seems to be a Al Sharpton / J Jackson scam,1,1,1
538,America was founded on systemic exploitation.,0,0,0
539,A university level study often taught in law school that involves looking at different topics from the lens of race as a critical framework,0,0,0
540,theory behind construct of race,0,0,0
541,nothing,0,0,0
542,"I think Slavery should be taught in schools, it is part of the history of this country.",0,1,0
543,I don't know,0,0,0
544,that some people have not been treated right but that go s for every body.,0,1,1
545,Teaching about the history of race and it's affects on society today,0,0,0
546,Supporting,0,1,1
547,Not sure,0,0,0
548,It tells how their is systemic racism imbedded in the country’s policies and laws.,0,0,0
549,Its a movement regarding resegregating schoolS in the 60's.,0,0,0
550,"Critical race theory is rooted in critical theory, a fundamentally flawed and overtly leftism-aligned lens through which all societal ills are seen to be the result of societal power structures actively working to keep one group down at the expense of others, whether this be intentional on the part of individuals aligned with these structures, or an organic result of these structures working to secure their self-interest. The theory incorporates Marxist thought. Ultimately, the goal of any critical theory is subversion. CRT exists to upend proud American tradition and the social fabric of our nation by positing as true positions so far divorced from the reality of matters, that to believe it is to become unable to be reasoned with.",0,1,1
551,Teaching a certain racial group that they are bad for being what they are.,0,1,1
552,Racial Marxism,0,1,1
553,The theory that the people of supremacy have of other races.,0,0,0
554,It is Measurable but sometimes it changes the minds of others,0,1,1
555,Didn't really pay attention,0,0,0
556,The fact that there is systemic racism,0,0,0
557,"I feel like it's trying to divide the country even more, we don't need to teach critical race theory we need to teach history and let people learn what not to do",0,1,1
558,Race before Civil war,0,0,0
559,The idea of telling how the US' history have been racist towards minorities even before it'd founding and how to fix it,0,0,0
560,I’m not sure what it is,0,0,0
561,Teaching children that the country is racist because of its past.,1,1,2
562,One race given preference over another due to skin or ethnic background,0,1,1
563,It teaches hate toward White people and causes problems,1,1,2
564,the i dea to educate people of all races of other races,0,0,0
565,Teach about the different taxes and I will be there in a few minutes to,0,0,0
566,Teaching about the systemic issue of racism in our country’s history and governmental systems,0,0,0
567,I am not sure,0,0,0
568,Theory about race,0,0,0
569,"Intersectionality. The way in which different forms of inequality and identity are affected by interconnections of race, class, gender and disability",0,0,0
570,History,0,0,0
571,The difference between races,0,0,0
572,Think,0,0,0
573,Something to do with racism,0,0,0
574,The actual history of how minorities have been treated and erased in our society.,0,1,1
575,Teaching students to have a critical eye to the history of race in the US.,0,1,1
576,The level of inequality towards a race within certain areas of the world,0,0,0
577,What you thought of a race,0,0,0
578,not really sure,0,0,0
579,"I don’t know, just heard the name",0,0,0
580,Leaving about the history of African Americans and having some knowledge about their history.,1,1,2
581,Don't know,0,0,0
582,Racist,0,1,1
583,I'm not sure,0,0,0
584,Teaching that white people are oppressors to black people.,1,0,1
585,Critical Race Theory,0,0,0
586,No clue,0,0,0
587,The Left’s way of trying to brainwash children.,1,1,2
588,Structural racism rooted in slavery and segregation is still pervasive throughout society and structurally disadvantaging black americans,1,0,0
589,A theory that states how race dictates how laws are created to empower racism,0,0,0
590,.,0,0,0
591,"That racism is imbedded in everything. The government, the police, the military, schools are all geared to keep minorities down. (Thats B.S.)",1,1,2
592,recognizes that systemic racism is part of American society.,0,1,1
593,I am not exactly sure. It should help teach about the history of racial prejudice and mistreatment.,0,1,1
594,it teaches about the history of race relations in history,0,0,0
595,It states that race is more of a social construct and racism is embedded into society.,0,0,0
596,"That everything about America is built on racist policies, and every white person is privileged",1,1,2
597,cr@p,0,1,1
598,Teaching the history of racial relations in america and not glorifying our racist past or figures.,0,1,1
599,The cause of economic inequality among African Americans is the generational discrimination going all the way back to slavery.,1,0,0
600,That certain long-standing problems have some roots in racial inequalties through the centuries.,0,0,0
601,"It is the teachings and principles of the book Critical Race Theory: The Key Writings that Formed a Movement and an off shoot of critical theory in law. Contributors of the book include Derrick Bell and Kimberle Crenshaw. Form these work several aspects are extracted namely the concept of race consciousness, and there fore the notion that we are separated by race. Many things are derived from these notions none that I find good. I personally believe that the teachings of this school of thought are divisive and damaging to race relations as they stigmatize people on the lines of immutable characteristics that have been proven to be less than accurate. Quite frankly I find the premises put forth by the work are rather racist against many ethnicities",0,1,1
602,TOO DISCRIMAGATEV WHITE PEOPLE,1,1,2
603,The idea that our institutions are inherently racist,0,0,0
604,I don't know,0,0,0
605,I think people upset about it are ridiculous,0,1,1
606,I have no idea,0,0,0
607,A college level course that explains the role pf systemic racism in history.,0,0,0
608,Hate,0,1,1
609,it's literally just telling school children that white people have perpetuated racism throughout history and are responsible for a lot of suffering of people of color just because their skin is darker than ours. like it's a fact. die mad about it lmfao,1,1,2
610,"A theory which centers race in discussions of legal systems, looking at racial injustice through a systemic lense in the legal system",0,0,0
611,Trying to see things through the eyes of minorities?,0,0,0
612,This is critical condition on both ends. Doesn't seem to offend till theres a victim of the theory.,0,1,1
613,N/A,0,0,0
614,I don’t remember what I read about it and have no idea,0,0,0
615,To divide people by their color.,0,1,1
616,Education about racial issues and equality,0,0,0
617,hating country,0,1,1
618,Teaching students how this country was founded on racism,0,0,0
619,"I'm not entirely sure, we only studied it a little",0,0,0
620,Historic about race situation,0,0,0
621,Boring,0,1,1
622,A way to devide us more.,0,1,1
623,The truth about how blacks are and have been treated during the course of history.,1,1,2
624,accusing young children for what was done 350 years ago,1,1,2
625,How racism has had and still has an ongoing effect on the economic and political opportunities for minorities.,0,0,0
626,End racism,0,1,1
627,"It is the teaching, basically (although it can also be taught in a very advanced, legalistic way, as in law schools) of our history going back to the founding of this nation and all the benefits reaped by it through the INSTITUTION of slavery and later Jim Crow. It is the teaching of the subjugation of the black man by white people throughout four hundred years, systemically, up to, in much subtler and even unconscious ways to TODAY!",1,1,2
628,Fine,0,1,1
629,A legal concept,0,0,0
630,New online,0,0,0
631,Racist against white people,1,1,2
632,The study of the broad ranging effects of racism on our society and how we might deal with the problem,0,0,0
633,Teaching about systemic racism.,0,0,0
634,Racism,0,1,1
635,Using race as a way to understand structures in society and why the exist in the way they do. Often reveals the oppression of structures through race.,0,0,0
636,Its something that isn't taught in grade school. Its a college course that analyzes systemic racism.,0,1,1
637,The idea that racism is a core component of what has made this nation what it is.,0,0,0
638,Can’t explain,0,0,0
639,I'm not really sure what it is,0,0,0
640,Not 100% sure .,0,0,0
641,Some other way for someone to cry,0,1,1
642,Dont know,0,0,0
643,No idea,0,0,0
644,Study of racism in the united states,0,0,0
645,Showing the true racism of a particular potion of this country STILL to this day and American bigotry as a whole,0,1,1
646,"How the US was built on racism, and how racist all of our policies still are",0,1,1
647,A college course that studies racial bias built into modern institutions,0,0,0
648,I have no idea.,0,0,0
649,Just another wah wah,0,1,1
650,Teaching the reality of racial inequality throughout history,0,1,1
651,I don't know,0,0,0
652,Not sure,0,0,0
653,Dont know,0,0,0
654,enforcing racial existence in the country,0,0,0
655,"The study of race as a social construct and that racism is not only the product of individual bias or prejudices, but also something embedded in legal systems and policies.",0,0,0
656,I think it a theory of establishing behavior on students,1,1,2
657,teaching white people that they are bad,1,1,2
658,"A method of legal and sociological analysis, examining legislation, social policy, or other proposals through the lens of a class-based approach to race in order to determine whether something has or will have a negative, disparate impact on racial minorities. It has also been applied more broadly as a way of analyzing other aspects of life such as personal interactions, art, etc., through a rubric of racialized power dynamics.",0,0,0
659,"CRT is the neo-marxist idea that non-whites are the oppressed majority, held back from success by racist rich leaders, and that this situation can only be rectified by an overhaul of the entire system and redistribution of wealth and power. CRT is essentially marxism/socialism by another name.",1,1,2
660,Teaching the true racial relationship as opposed to slavery,0,1,1
661,It is the study of how society is structured in such a way that disadvantages people of certain races.,0,0,0
662,scared republicans,0,1,1
663,theory of how races act,0,0,0
664,intellectual movement that began in the United States in the post-civil rights era as 1960s landmark civil rights laws were being eroded and schools were being re-segregated.,0,0,0
665,I’m not sure what it means,0,0,0
666,NOT TO HIGHLY,0,1,1
667,"It is interdisciplinary study improving understanding of and reactions to relations between different races and different ethnicities, particularly in light of government action.",0,0,0
668,The claim that racism is built into the laws and systems of our country because white people founded the country and are all racist.,1,0,1
669,How racism is embedded deep within society,0,0,0
670,A legal theory about racial disparities that has been weaponized by bad actors in false claims about public education,0,1,1
671,I do not know enough to say what it is but I know enough to say what it is not which is how it is being portrayed in the right wing media.,0,1,1
672,A policy of not teaching history or current events if they shine light on inequalities of treatment for different races.,0,1,1
673,A theory to explain racism embedded in the legal system,0,0,0
674,"An academic school of thought that makes racial inequality a central concern in evaluation of US history, policy, and political economy",0,0,0
675,Making white children feel that they are responsable for what happen 150 years ago . And make Black children feel like they are owed,1,1,2
676,Pointing out the fallacies in United States' history related to its treatment of people of color and attempting to teach students to think critically about what might work to improve race relations now and into the future.,0,1,0
677,little effect,0,1,1
678,"Talks about just one specific minority soon to be majority who still feel they don't have ""equal rights"" and demand special treatment just because they feel entitled.",0,1,1
679,Its the idea that whites in america have been privileged and most of the problems with other non whites were caused by them,1,1,2
680,"CRT is a cross-disciplinary intellectual movement in which scholars began questioning the role of laws, government, and various institutions in perpetuating racism and even embedding racism in our nation.",0,0,0
681,"They are trying to make black kids hate white kids more than their families already do, plus trying to make America out to be racist!",1,1,2
682,Unsure,0,0,0
683,It teaches about historical issues like slavery and how that history of oppression has made it harder for black Americans economically.,1,0,1
684,Teaching kids about slavery and all the stuffs,1,0,1
685,Racial biases that have hindered minorities,0,0,0
686,academic theory that tries to use race to explain social inequalities and inequities,0,0,0
687,US Society fosters racism,0,0,0
688,Its a lens of examining American history through the eyes of historically marginalized and oppressed groups,0,0,0
689,Movement that pits people of color against white people.,1,0,0
690,"Something that is taught more in college than Elem-HS, and has turned into a dog-whistle for ignorant people. It's re-examining history as we've been taught it and trying to correct the record with an eye toward how history is recorded and why.",0,1,1
691,It is the educational content area that teaches students about what really happened in America’s past and concerning slavery/African Americans,1,0,1
692,A theory taught in university. I know nothing more about it besides that fact that people don't want it taught in elementary schools which it's not.,0,0,0
693,I don’t know,0,0,0
694,,0,0,0
695,A law school theory that attempts to understand racial inequality.,0,0,0
696,It's an academic stance where US history and legal scholarship is taught from the perspective of the African-American community.,1,0,1
697,Cross disciplinary racial movements,0,0,0
698,Hog wash,0,1,1
699,"That race has become integrated into every part of society, and life is much harder for people of color",0,0,0
700,Teaching inequality amongst races,0,0,0
701,Teaching students the truth,0,1,1
702,dividing races,0,1,1
703,Most people are racist get over it yes it sucks but life goes on leave it up to there parents!!!!!!,0,1,1
704,Critical race theory is an academic way of examining history through a lense that considers the factor of race.,0,0,0
705,It’s not real. It’s a fable from the media that the right has become obsessed with.,0,1,1
706,real accurate history.,0,1,1
707,Should be required because this country holds a violent history that we all need to know about so that we don't repeat these mistakes/cycles.,0,1,1
708,.,0,0,0
709,Teaching about the racism imbedded in our country,0,0,0
710,Bad,0,1,1
711,It’s racist towards white people.,1,1,2
712,The premise that people are treated differently based on their race and that society is the way it is because of that difference in treatment.,0,0,0
713,Main issues with race,0,0,0
714,No idea,0,0,0
715,None,0,0,0
716,Racism Impact,0,0,0
717,Race where decisions and judgment are clouded,0,0,0
718,Teach the real history of America not the made up version.,0,1,0
719,Its an honest representation of race relations in America,0,1,1
720,I don't really know,0,0,0
721,A veiw that states that systemic racism is a current thing,0,0,0
722,Unsure,0,0,0
723,"The teaching of race relations in the USA had been marked since this land was ""founded"".",0,1,1
724,That it's great and it helps,0,1,1
725,I think race different should end,0,1,1
726,don't know enough about it to give an opinion,0,0,0
727,no clue,0,0,0
728,CRT is only taught in law school never in public school this is a made-up outrage.,0,1,1
729,That racial discrimination is built into our society,0,0,0
730,Truth,0,1,1
731,Have,0,0,0
732,Institutional Racism,0,0,0
733,Things about people being racist towards each other and things,0,0,0
734,brainwashing everything is racist,0,1,1
735,Teaching of inequities between people of color.,0,0,0
736,How whites in America treated Black people like animals.,1,0,1
737,I think Critical Race Theory is the theory that black peoples are systematically treated wrong in this country by the police and government departments.,1,0,1
738,Race has played a huge role in society and the way its shaped,0,0,0
739,Idk,0,0,0
740,I don't know,0,0,0
741,Society managed by the whites use laws to improve white society while black society suffers.,1,0,0
742,It's an embarassed. There is no THEORY. Enslavement DID happen. Everytime I see CRT I just dont know how to feel about the word THEORY. Thats a whole other struggle in itself.,0,1,1
743,Not enough known for a description,0,0,0
744,Don't know yet,0,0,0
745,I think that people have really gotten it backwards about what it is really about which I think is teaching other races (especially Caucasians) that it's wrong to treat someone badly based on the color of their skin,1,1,2
746,I'm not knowledgeable on CRT.,0,0,0
747,radical,0,1,1
748,"Race has a impact on the success of people, and those who are not white are disadvantaged in society",1,0,1
749,What's is right,0,1,1
750,Racism is more than actively discriminating against someone.,0,0,0
751,Something funny,0,1,1
752,None,0,0,0
753,The public is being misinformed about what is being taught,0,1,1
754,teaching about the inequities between whites and other races,1,0,1
755,How race has been treated in society.,0,0,0
756,It is a stupid way of trying to make how things should be in the eyes of others when clearly it is not,0,1,1
757,Reverse racism,0,1,1
758,When you are racing to come up with the best Theory of a critical race.,0,1,1
759,just a way for all races to feel like they are victims,0,1,1
760,The teaching of race relations due to color and economic background.,0,0,0
761,"Public schools should teach The Bill of Rights, not some racist nonsense propaganda like (crt).",0,1,1
762,civil rights,0,0,0
763,Race baiting dividing propaganda.,0,1,1
764,I dont know,0,0,0
765,It makes children feel like bad people.,1,1,2
766,What kids in school need to learn about race that has change over the years that was not in books or written wrong in school books.,1,1,2
767,Something that should be taught to college students,1,1,2
768,"The assumption that people use racism as a means to get what they want or diminish other races, and instead just focus on the hardships of one race. In history, there were a lot of different groups who have gone through racism, and they are putting one above all others.",0,1,1
769,"Basically the idea that racism has permeated every area of our society even though we are often not aware of it and we need to look at each layer and segment of society to see how people in it have been, or are being, affected by racism and racial inequalities.",0,0,0
770,Teaching the uncomfortable truth of the history of race in America.,0,1,1
771,"I have no idea. Probably something to do with how the white man is responsible for everything wrong in the world, from slavery to anti-matter annihilation.",1,1,2
772,Useless,0,1,1
773,How race impacts laws that are made.,0,0,0
774,Not really sure,0,0,0
775,Analyzing the framework of American institutions in terms of racial inequality.,0,0,0
776,Race groups,0,0,0
777,I don't know,0,0,0
778,Civil rights laws,0,0,0
779,No,0,0,0
780,It is the systematic disenfranchisement of black people because of our race,1,0,1
781,history,0,0,0
782,I'm not sure,0,0,0
783,Critical Race Theory is about our country’s racist history and how it impacts the present,0,0,0
784,Terrible,0,1,1
785,Racism and discrimination,0,1,1
786,1960’s was used to exploit blacks to make the whites look better,1,0,1
787,Trickery,0,1,1
788,Crappy Racist Teaching.,0,1,1
789,Not sure,0,0,0
790,"Teaching that racism is inherently imbedded in our countries rules, regulations, and methods of operation.",0,0,0
791,none,0,0,0
792,A joke,0,1,1
793,Black Lives matters is stupid and are criminal,0,1,1
794,Na,0,0,0
795,Fabrication,0,1,1
796,Completely useless,0,1,1
797,"A theory that argues, Whites have been the primary beneficiaries of civil rights legislation in America.",1,0,1
798,it shouldnt be taught in schoold,0,1,1
799,nothing have not heard of,0,0,0
800,A law school course taught in college and not in K-12 schools.,0,1,1
801,Not supported by facts,0,1,1
802,A false claim about racism in the country,0,1,1
803,Violations of human rights for ppl of color. Black or brown,1,0,1
804,Dont know,0,0,0
805,Marxist reinterpretation of history.,0,1,1
806,None,0,0,0
807,Dont know,0,0,0
808,I'm really not sure on the subject,0,0,0
809,A legal theory taught to law students that permeated into the social sciences departments in universities for the purpose of establishing new dominant narratives around race in society.,0,1,1
810,a bunch of whiny bullshit,0,1,1
811,Thetheory that racism makes racism,0,1,1
812,Race is a construct built in to our society to exploit and oppress people of color.,0,0,0
813,Telling children that all white are bad and we should be ashamed,1,1,2
814,Don't know,0,0,0
815,Fucked,0,1,1
