cowcode,stateabb,statename,relevance,from,to,group,size,status,warid,warid2,groupid,cowgroupid
420,GAM,Gambia,Yes,1965,1993,Wolof,0.145,SENIOR PARTNER,,,3000,42003000
420,GAM,Gambia,Yes,1965,1993,Diola,0.105,JUNIOR PARTNER,,,4000,42004000
420,GAM,Gambia,Yes,1965,1993,Aku (Creoles),0.02,JUNIOR PARTNER,,,6000,42006000
420,GAM,Gambia,No,1994,2005,Mandinka,0.395,IRRELEVANT,,,1000,42001000
420,GAM,Gambia,No,1994,2005,Fula,0.19,IRRELEVANT,,,2000,42002000
420,GAM,Gambia,No,1994,2005,Wolof,0.145,IRRELEVANT,,,3000,42003000
420,GAM,Gambia,No,1994,2005,Diola,0.105,IRRELEVANT,,,4000,42004000
420,GAM,Gambia,No,1994,2005,Aku (Creoles),0.02,IRRELEVANT,,,6000,42006000
432,MLI,Mali,Yes,1960,1990,"Blacks (Mande, Peul, Voltaic etc.)",0.9,MONOPOLY,,,1000,43201000
432,MLI,Mali,Yes,1960,1990,Whites (Tuareg & Arabs),0.1,POWERLESS,27900,,2000,43202000
432,MLI,Mali,Yes,1991,1993,"Blacks (Mande, Peul, Voltaic etc.)",0.9,SENIOR PARTNER,,,1000,43201000
432,MLI,Mali,Yes,1991,1993,Whites (Tuareg & Arabs),0.1,JUNIOR PARTNER,27900,,2000,43202000
432,MLI,Mali,Yes,1994,1995,"Blacks (Mande, Peul, Voltaic etc.)",0.9,MONOPOLY,,,1000,43201000
432,MLI,Mali,Yes,1994,1995,Whites (Tuareg & Arabs),0.1,DISCRIMINATED,27900,,2000,43202000
432,MLI,Mali,Yes,1996,2005,"Blacks (Mande, Peul, Voltaic etc.)",0.9,SENIOR PARTNER,,,1000,43201000
432,MLI,Mali,Yes,1996,2005,Whites (Tuareg & Arabs),0.1,JUNIOR PARTNER,,,2000,43202000
433,SEN,Senegal,Yes,1960,1980,Wolof,0.435,JUNIOR PARTNER,,,1000,43301000
433,SEN,Senegal,Yes,1960,1980,"Pulaar (Peul, Toucouleur)",0.23,JUNIOR PARTNER,,,2000,43302000
433,SEN,Senegal,Yes,1960,1980,Serer,0.15,SENIOR PARTNER,,,3000,43303000
433,SEN,Senegal,Yes,1960,1980,Mandingue (and other eastern groups),0.08,JUNIOR PARTNER,,,4000,43304000
433,SEN,Senegal,Yes,1960,1980,Diola,0.055,JUNIOR PARTNER,,,5000,43305000
433,SEN,Senegal,Yes,1981,2005,Wolof,0.435,SENIOR PARTNER,,,1000,43301000
433,SEN,Senegal,Yes,1981,2005,"Pulaar (Peul, Toucouleur)",0.23,JUNIOR PARTNER,,,2000,43302000
433,SEN,Senegal,Yes,1981,2005,Serer,0.15,JUNIOR PARTNER,,,3000,43303000
433,SEN,Senegal,Yes,1981,2005,Mandingue (and other eastern groups),0.08,JUNIOR PARTNER,,,4000,43304000
433,SEN,Senegal,Yes,1981,2005,Diola,0.055,JUNIOR PARTNER,28200,,5000,43305000
434,BEN,Benin,Yes,1960,1963,South/Central (Fon),0.33,JUNIOR PARTNER,,,1000,43401000
434,BEN,Benin,Yes,1960,1963,Southeastern (Yoruba/Nagot and Goun),0.185,JUNIOR PARTNER,,,2000,43402000
434,BEN,Benin,Yes,1960,1963,Southwestern (Adja),0.15,IRRELEVANT,,,4000,43404000
434,BEN,Benin,Yes,1960,1963,"Northern (Bariba, Gurmanché/Betamaribe etc.)",0.15,SENIOR PARTNER,,,3000,43403000
434,BEN,Benin,Yes,1964,1965,South/Central (Fon),0.33,SENIOR PARTNER,,,1000,43401000
434,BEN,Benin,Yes,1964,1965,Southeastern (Yoruba/Nagot and Goun),0.185,SENIOR PARTNER,,,2000,43402000
434,BEN,Benin,Yes,1964,1965,Southwestern (Adja),0.15,IRRELEVANT,,,4000,43404000
434,BEN,Benin,Yes,1964,1965,"Northern (Bariba, Gurmanché/Betamaribe etc.)",0.15,POWERLESS,,,3000,43403000
434,BEN,Benin,Yes,1966,1967,South/Central (Fon),0.33,SENIOR PARTNER,,,1000,43401000
434,BEN,Benin,Yes,1966,1967,Southeastern (Yoruba/Nagot and Goun),0.185,JUNIOR PARTNER,,,2000,43402000
434,BEN,Benin,Yes,1966,1967,Southwestern (Adja),0.15,IRRELEVANT,,,4000,43404000
434,BEN,Benin,Yes,1966,1967,"Northern (Bariba, Gurmanché/Betamaribe etc.)",0.15,POWERLESS,,,3000,43403000
434,BEN,Benin,Yes,1968,1969,South/Central (Fon),0.33,JUNIOR PARTNER,,,1000,43401000
434,BEN,Benin,Yes,1968,1969,Southeastern (Yoruba/Nagot and Goun),0.185,POWERLESS,,,2000,43402000
434,BEN,Benin,Yes,1968,1969,"Northern (Bariba, Gurmanché/Betamaribe etc.)",0.15,SENIOR PARTNER,,,3000,43403000
434,BEN,Benin,Yes,1968,1969,Southwestern (Adja),0.15,IRRELEVANT,,,4000,43404000
434,BEN,Benin,Yes,1970,1972,South/Central (Fon),0.33,JUNIOR PARTNER,,,1000,43401000
434,BEN,Benin,Yes,1970,1972,Southeastern (Yoruba/Nagot and Goun),0.185,JUNIOR PARTNER,,,2000,43402000
434,BEN,Benin,Yes,1970,1972,"Northern (Bariba, Gurmanché/Betamaribe etc.)",0.15,SENIOR PARTNER,,,3000,43403000
434,BEN,Benin,Yes,1970,1972,Southwestern (Adja),0.15,IRRELEVANT,,,4000,43404000
434,BEN,Benin,Yes,1973,1989,South/Central (Fon),0.33,JUNIOR PARTNER,,,1000,43401000
434,BEN,Benin,Yes,1973,1989,Southeastern (Yoruba/Nagot and Goun),0.185,JUNIOR PARTNER,,,2000,43402000
434,BEN,Benin,Yes,1973,1989,Southwestern (Adja),0.15,IRRELEVANT,,,4000,43404000
434,BEN,Benin,Yes,1973,1989,"Northern (Bariba, Gurmanché/Betamaribe etc.)",0.15,SENIOR PARTNER,,,3000,43403000
434,BEN,Benin,Yes,1990,1990,South/Central (Fon),0.33,SENIOR PARTNER,,,1000,43401000
434,BEN,Benin,Yes,1990,1990,Southeastern (Yoruba/Nagot and Goun),0.185,JUNIOR PARTNER,,,2000,43402000
434,BEN,Benin,Yes,1990,1990,Southwestern (Adja),0.15,JUNIOR PARTNER,,,4000,43404000
434,BEN,Benin,Yes,1990,1990,"Northern (Bariba, Gurmanché/Betamaribe etc.)",0.15,JUNIOR PARTNER,,,3000,43403000
434,BEN,Benin,Yes,1991,1995,South/Central (Fon),0.33,SENIOR PARTNER,,,1000,43401000
434,BEN,Benin,Yes,1991,1995,Southeastern (Yoruba/Nagot and Goun),0.185,JUNIOR PARTNER,,,2000,43402000
434,BEN,Benin,Yes,1991,1995,Southwestern (Adja),0.15,JUNIOR PARTNER,,,4000,43404000
434,BEN,Benin,Yes,1991,1995,"Northern (Bariba, Gurmanché/Betamaribe etc.)",0.15,JUNIOR PARTNER,,,3000,43403000
434,BEN,Benin,Yes,1996,2005,South/Central (Fon),0.33,REGIONAL AUTONOMY,,,1000,43401000
434,BEN,Benin,Yes,1996,2005,Southeastern (Yoruba/Nagot and Goun),0.185,JUNIOR PARTNER,,,2000,43402000
434,BEN,Benin,Yes,1996,2005,Southwestern (Adja),0.15,JUNIOR PARTNER,,,4000,43404000
434,BEN,Benin,Yes,1996,2005,"Northern (Bariba, Gurmanché/Betamaribe etc.)",0.15,SENIOR PARTNER,,,3000,43403000
435,MR,Mauritania,Yes,1960,1977,White Moors (Beydan),0.43,SENIOR PARTNER,,,1000,43501000
435,MR,Mauritania,Yes,1960,1977,Haratins (Black Moors),0.41,JUNIOR PARTNER,,,2000,43502000
435,MR,Mauritania,Yes,1960,1977,Black Africans,0.16,JUNIOR PARTNER,,,3000,43503000
435,MR,Mauritania,Yes,1978,1983,White Moors (Beydan),0.43,JUNIOR PARTNER,,,1000,43501000
435,MR,Mauritania,Yes,1978,1983,Haratins (Black Moors),0.41,SENIOR PARTNER,,,2000,43502000
435,MR,Mauritania,Yes,1978,1983,Black Africans,0.16,JUNIOR PARTNER,,,3000,43503000
435,MR,Mauritania,Yes,1984,2005,Haratins (Black Moors),0.4,JUNIOR PARTNER,,,2000,43502000
435,MR,Mauritania,Yes,1984,2005,White Moors (Beydan),0.3,SENIOR PARTNER,,,1000,43501000
435,MR,Mauritania,Yes,1984,2005,Black Africans,0.3,JUNIOR PARTNER,,,3000,43503000
436,NIR,Niger,Yes,1960,1989,Hausa,0.56,POWERLESS,,,2000,43602000
436,NIR,Niger,Yes,1960,1989,Djerma-Songhai,0.22,DOMINANT,,,1000,43601000
436,NIR,Niger,Yes,1960,1989,Peul,0.085,POWERLESS,,,4000,43604000
436,NIR,Niger,Yes,1960,1989,Tuareg,0.08,POWERLESS,,,6000,43606000
436,NIR,Niger,Yes,1960,1989,Kanouri,0.045,POWERLESS,,,3000,43603000
436,NIR,Niger,Yes,1960,1989,Toubou,0.005,POWERLESS,,,5000,43605000
436,NIR,Niger,Yes,1990,1990,Hausa,0.56,POWERLESS,,,2000,43602000
436,NIR,Niger,Yes,1990,1990,Djerma-Songhai,0.22,DOMINANT,,,1000,43601000
436,NIR,Niger,Yes,1990,1990,Peul,0.085,IRRELEVANT,,,4000,43604000
436,NIR,Niger,Yes,1990,1990,Tuareg,0.08,DISCRIMINATED,,,6000,43606000
436,NIR,Niger,Yes,1990,1990,Kanouri,0.045,POWERLESS,,,3000,43603000
436,NIR,Niger,Yes,1990,1990,Toubou,0.005,POWERLESS,,,5000,43605000
436,NIR,Niger,Yes,1991,1992,Hausa,0.56,SENIOR PARTNER,,,2000,43602000
436,NIR,Niger,Yes,1991,1992,Djerma-Songhai,0.22,JUNIOR PARTNER,,,1000,43601000
436,NIR,Niger,Yes,1991,1992,Peul,0.085,IRRELEVANT,,,4000,43604000
436,NIR,Niger,Yes,1991,1992,Tuareg,0.08,DISCRIMINATED,28000,,6000,43606000
436,NIR,Niger,Yes,1991,1992,Kanouri,0.045,JUNIOR PARTNER,,,3000,43603000
436,NIR,Niger,Yes,1991,1992,Toubou,0.005,POWERLESS,,,5000,43605000
436,NIR,Niger,Yes,1993,1994,Hausa,0.56,SENIOR PARTNER,,,2000,43602000
436,NIR,Niger,Yes,1993,1994,Djerma-Songhai,0.22,JUNIOR PARTNER,,,1000,43601000
436,NIR,Niger,Yes,1993,1994,Peul,0.085,IRRELEVANT,,,4000,43604000
436,NIR,Niger,Yes,1993,1994,Tuareg,0.08,JUNIOR PARTNER,28000,,6000,43606000
436,NIR,Niger,Yes,1993,1994,Kanouri,0.045,JUNIOR PARTNER,,,3000,43603000
436,NIR,Niger,Yes,1993,1994,Toubou,0.005,POWERLESS,,,5000,43605000
436,NIR,Niger,Yes,1995,1995,Hausa,0.56,SENIOR PARTNER,,,2000,43602000
436,NIR,Niger,Yes,1995,1995,Djerma-Songhai,0.22,SENIOR PARTNER,,,1000,43601000
436,NIR,Niger,Yes,1995,1995,Peul,0.085,IRRELEVANT,,,4000,43604000
436,NIR,Niger,Yes,1995,1995,Tuareg,0.08,JUNIOR PARTNER,28000,,6000,43606000
436,NIR,Niger,Yes,1995,1995,Kanouri,0.045,JUNIOR PARTNER,,,3000,43603000
436,NIR,Niger,Yes,1995,1995,Toubou,0.005,POWERLESS,,,5000,43605000
436,NIR,Niger,Yes,1996,1999,Hausa,0.56,POWERLESS,,,2000,43602000
436,NIR,Niger,Yes,1996,1999,Djerma-Songhai,0.22,DOMINANT,,,1000,43601000
436,NIR,Niger,Yes,1996,1999,Peul,0.085,POWERLESS,,,4000,43604000
436,NIR,Niger,Yes,1996,1999,Tuareg,0.08,POWERLESS,28000,,6000,43606000
436,NIR,Niger,Yes,1996,1999,Kanouri,0.045,POWERLESS,,,3000,43603000
436,NIR,Niger,Yes,1996,1999,Toubou,0.005,POWERLESS,31500,,5000,43605000
436,NIR,Niger,Yes,2000,2005,Hausa,0.56,JUNIOR PARTNER,,,2000,43602000
436,NIR,Niger,Yes,2000,2005,Djerma-Songhai,0.22,SENIOR PARTNER,,,1000,43601000
436,NIR,Niger,Yes,2000,2005,Peul,0.085,IRRELEVANT,,,4000,43604000
436,NIR,Niger,Yes,2000,2005,Tuareg,0.08,POWERLESS,,,6000,43606000
436,NIR,Niger,Yes,2000,2005,Kanouri,0.045,JUNIOR PARTNER,,,3000,43603000
436,NIR,Niger,Yes,2000,2005,Toubou,0.005,POWERLESS,,,5000,43605000
437,CDI,Cote d'Ivoire,Yes,1960,1993,Northerners (Mande and Voltaic/Gur),0.34,JUNIOR PARTNER,,,3000,43703000
437,CDI,Cote d'Ivoire,Yes,1960,1993,Other Akans,0.22,JUNIOR PARTNER,,,4000,43704000
437,CDI,Cote d'Ivoire,Yes,1960,1993,Baule (Akan),0.2,SENIOR PARTNER,,,1000,43701000
437,CDI,Cote d'Ivoire,Yes,1960,1993,Southern Mande,0.12,IRRELEVANT,,,5000,43705000
437,CDI,Cote d'Ivoire,Yes,1960,1993,Kru,0.11,POWERLESS,,,2000,43702000
437,CDI,Cote d'Ivoire,Yes,1994,1999,Northerners (Mande and Voltaic/Gur),0.34,DISCRIMINATED,,,3000,43703000
437,CDI,Cote d'Ivoire,Yes,1994,1999,Other Akans,0.22,JUNIOR PARTNER,,,4000,43704000
437,CDI,Cote d'Ivoire,Yes,1994,1999,Baule,0.2,SENIOR PARTNER,,,1000,43701000
437,CDI,Cote d'Ivoire,Yes,1994,1999,Southern Mande,0.12,DISCRIMINATED,,,5000,43705000
437,CDI,Cote d'Ivoire,Yes,1994,1999,Kru,0.11,POWERLESS,,,2000,43702000
437,CDI,Cote d'Ivoire,Yes,2000,2002,Northerners (Mande and Voltaic/Gur),0.34,DISCRIMINATED,32800,,3000,43703000
437,CDI,Cote d'Ivoire,Yes,2000,2002,Other Akans,0.22,JUNIOR PARTNER,,,4000,43704000
437,CDI,Cote d'Ivoire,Yes,2000,2002,Baule (Akan),0.2,JUNIOR PARTNER,,,1000,43701000
437,CDI,Cote d'Ivoire,Yes,2000,2002,Southern Mande,0.12,IRRELEVANT,,,5000,43705000
437,CDI,Cote d'Ivoire,Yes,2000,2002,Kru,0.11,SENIOR PARTNER,,,2000,43702000
437,CDI,Cote d'Ivoire,Yes,2003,2005,Northerners (Mande and Voltaic/Gur),0.34,JUNIOR PARTNER,32800,,3000,43703000
437,CDI,Cote d'Ivoire,Yes,2003,2005,Other Akans,0.22,JUNIOR PARTNER,,,4000,43704000
437,CDI,Cote d'Ivoire,Yes,2003,2005,Baule,0.2,JUNIOR PARTNER,,,1000,43701000
437,CDI,Cote d'Ivoire,Yes,2003,2005,Southern Mande,0.12,IRRELEVANT,,,5000,43705000
437,CDI,Cote d'Ivoire,Yes,2003,2005,Kru,0.11,SENIOR PARTNER,,,2000,43702000
438,GUI,Guinea,Yes,1958,1983,Peul,0.4,JUNIOR PARTNER,,,2000,43802000
438,GUI,Guinea,Yes,1958,1983,Malinke,0.3,SENIOR PARTNER,,,1000,43801000
438,GUI,Guinea,Yes,1958,1983,Susu,0.2,JUNIOR PARTNER,,,3000,43803000
438,GUI,Guinea,Yes,1984,1985,Peul,0.4,JUNIOR PARTNER,,,2000,43802000
438,GUI,Guinea,Yes,1984,1985,Malinke,0.3,JUNIOR PARTNER,,,1000,43801000
438,GUI,Guinea,Yes,1984,1985,Susu,0.2,SENIOR PARTNER,,,3000,43803000
438,GUI,Guinea,Yes,1986,2005,Peul,0.4,POWERLESS,,,2000,43802000
438,GUI,Guinea,Yes,1986,2005,Malinke,0.3,POWERLESS,,,1000,43801000
438,GUI,Guinea,Yes,1986,2005,Susu,0.2,DOMINANT,,,3000,43803000
439,BFO,Burkina Faso,No,1960,2005,,,,,,,
450,LBR,Liberia,Yes,1946,1980,Indigenous Peoples,0.98,DISCRIMINATED,24700,,3000,45003000
450,LBR,Liberia,Yes,1946,1980,Americo-Liberians,0.02,MONOPOLY,,,1000,45001000
450,LBR,Liberia,Yes,1981,1989,Kpelle (Guerze),0.21,IRRELEVANT,,,3040,45003040
450,LBR,Liberia,Yes,1981,1989,Gio,0.08,DISCRIMINATED,24701,,3020,45003020
450,LBR,Liberia,Yes,1981,1989,Mano,0.07,DISCRIMINATED,24701,,3080,45003080
450,LBR,Liberia,Yes,1981,1989,Kru,0.05,IRRELEVANT,,,3060,45003060
450,LBR,Liberia,Yes,1981,1989,Krahn (Guere),0.05,DOMINANT,,,3050,45003050
450,LBR,Liberia,Yes,1981,1989,Americo-Liberians,0.02,DISCRIMINATED,,,1000,45001000
450,LBR,Liberia,Yes,1981,1989,Mandingo,0.017,IRRELEVANT,,,3070,45003070
450,LBR,Liberia,Yes,1990,1996,Kpelle (Guerze),0.21,STATE COLLAPSE,,,3040,45003040
450,LBR,Liberia,Yes,1990,1996,Gio,0.08,STATE COLLAPSE,24701,,3020,45003020
450,LBR,Liberia,Yes,1990,1996,Mano,0.07,STATE COLLAPSE,24701,,3080,45003080
450,LBR,Liberia,Yes,1990,1996,Krahn (Guere),0.05,STATE COLLAPSE,,,3050,45003050
450,LBR,Liberia,Yes,1990,1996,Kru,0.05,STATE COLLAPSE,,,3060,45003060
450,LBR,Liberia,Yes,1990,1996,Americo-Liberians,0.02,STATE COLLAPSE,,,1000,45001000
450,LBR,Liberia,Yes,1990,1996,Mandingo,0.017,STATE COLLAPSE,,,3070,45003070
450,LBR,Liberia,Yes,1997,2003,Kpelle (Guerze),0.21,IRRELEVANT,,,3040,45003040
450,LBR,Liberia,Yes,1997,2003,Gio,0.08,JUNIOR PARTNER,,,3020,45003020
450,LBR,Liberia,Yes,1997,2003,Mano,0.07,JUNIOR PARTNER,,,3080,45003080
450,LBR,Liberia,Yes,1997,2003,Krahn (Guere),0.05,DISCRIMINATED,24703,,3050,45003050
450,LBR,Liberia,Yes,1997,2003,Kru,0.05,IRRELEVANT,,,3060,45003060
450,LBR,Liberia,Yes,1997,2003,Americo-Liberians,0.02,SENIOR PARTNER,,,1000,45001000
450,LBR,Liberia,Yes,1997,2003,Mandingo,0.017,DISCRIMINATED,24703,,3070,45003070
450,LBR,Liberia,Yes,2004,2005,Kpelle (Guerze),0.21,IRRELEVANT,,,3040,45003040
450,LBR,Liberia,Yes,2004,2005,Gio,0.08,SENIOR PARTNER,,,3020,45003020
450,LBR,Liberia,Yes,2004,2005,Mano,0.07,SENIOR PARTNER,,,3080,45003080
450,LBR,Liberia,Yes,2004,2005,Krahn (Guere),0.05,SENIOR PARTNER,,,3050,45003050
450,LBR,Liberia,Yes,2004,2005,Kru,0.05,IRRELEVANT,,,3060,45003060
450,LBR,Liberia,Yes,2004,2005,Americo-Liberians,0.02,SENIOR PARTNER,,,1000,45001000
450,LBR,Liberia,Yes,2004,2005,Mandingo,0.017,SENIOR PARTNER,,,3070,45003070
451,SIE,Sierra Leone,Yes,1961,1963,"Northern Groups (Temne, Limba)",0.38,JUNIOR PARTNER,,,5000,45105000
451,SIE,Sierra Leone,Yes,1961,1963,Mende,0.3,SENIOR PARTNER,,,4000,45104000
451,SIE,Sierra Leone,Yes,1961,1963,Creole,0.06,JUNIOR PARTNER,,,1000,45101000
451,SIE,Sierra Leone,Yes,1961,1963,Kono,0.04,POWERLESS,,,2000,45102000
451,SIE,Sierra Leone,Yes,1964,1967,"Northern Groups (Temne, Limba)",0.38,POWERLESS,,,5000,45105000
451,SIE,Sierra Leone,Yes,1964,1967,Mende,0.3,DOMINANT,,,4000,45104000
451,SIE,Sierra Leone,Yes,1964,1967,Creole,0.06,POWERLESS,,,1000,45101000
451,SIE,Sierra Leone,Yes,1964,1967,Kono,0.04,POWERLESS,,,2000,45102000
451,SIE,Sierra Leone,Yes,1968,1991,Mende,0.3,POWERLESS,,,4000,45104000
451,SIE,Sierra Leone,Yes,1968,1991,Temne,0.3,JUNIOR PARTNER,,,5060,45105060
451,SIE,Sierra Leone,Yes,1968,1991,Limba,0.08,SENIOR PARTNER,,,5030,45105030
451,SIE,Sierra Leone,Yes,1968,1991,Creole,0.06,JUNIOR PARTNER,,,1000,45101000
451,SIE,Sierra Leone,Yes,1968,1991,Kono,0.04,POWERLESS,,,2000,45102000
451,SIE,Sierra Leone,Yes,1992,1995,Mende,0.3,STATE COLLAPSE,,,4000,45104000
451,SIE,Sierra Leone,Yes,1992,1995,Temne,0.3,STATE COLLAPSE,,,5060,45105060
451,SIE,Sierra Leone,Yes,1992,1995,Limba,0.08,STATE COLLAPSE,,,5030,45105030
451,SIE,Sierra Leone,Yes,1992,1995,Creole,0.06,STATE COLLAPSE,,,1000,45101000
451,SIE,Sierra Leone,Yes,1992,1995,Kono,0.04,STATE COLLAPSE,,,2000,45102000
451,SIE,Sierra Leone,Yes,1996,1996,"Northern Groups (Temne, Limba)",0.38,JUNIOR PARTNER,,,5000,45105000
451,SIE,Sierra Leone,Yes,1996,1996,Mende,0.3,SENIOR PARTNER,,,4000,45104000
451,SIE,Sierra Leone,Yes,1996,1996,Creole,0.06,IRRELEVANT,,,1000,45101000
451,SIE,Sierra Leone,Yes,1996,1996,Kono,0.04,POWERLESS,,,2000,45102000
451,SIE,Sierra Leone,Yes,1997,2001,"Northern Groups (Temne, Limba)",0.38,STATE COLLAPSE,,,5000,45105000
451,SIE,Sierra Leone,Yes,1997,2001,Mende,0.3,STATE COLLAPSE,,,4000,45104000
451,SIE,Sierra Leone,Yes,1997,2001,Creole,0.06,STATE COLLAPSE,,,1000,45101000
451,SIE,Sierra Leone,Yes,1997,2001,Kono,0.04,STATE COLLAPSE,,,2000,45102000
451,SIE,Sierra Leone,Yes,2002,2005,"Northern Groups (Temne, Limba)",0.38,POWERLESS,,,5000,45105000
451,SIE,Sierra Leone,Yes,2002,2005,Mende,0.3,DOMINANT,,,4000,45104000
451,SIE,Sierra Leone,Yes,2002,2005,Creole,0.06,IRRELEVANT,,,1000,45101000
451,SIE,Sierra Leone,Yes,2002,2005,Kono,0.04,POWERLESS,,,2000,45102000
452,GHA,Ghana,Yes,1957,1965,Other Akans,0.345,SENIOR PARTNER,,,7000,45207000
452,GHA,Ghana,Yes,1957,1965,"Northern Groups (Mole-Dagbani, Gurma, Grusi)",0.235,JUNIOR PARTNER,,,6000,45206000
452,GHA,Ghana,Yes,1957,1965,Asante (Akan),0.15,JUNIOR PARTNER,,,1000,45201000
452,GHA,Ghana,Yes,1957,1965,Ewe,0.13,JUNIOR PARTNER,,,2000,45202000
452,GHA,Ghana,Yes,1957,1965,Ga-Adangbe,0.08,JUNIOR PARTNER,,,3000,45203000
452,GHA,Ghana,Yes,1957,1965,Guan,0.045,JUNIOR PARTNER,,,4000,45204000
452,GHA,Ghana,Yes,1966,1969,Other Akans,0.345,JUNIOR PARTNER,,,7000,45207000
452,GHA,Ghana,Yes,1966,1969,"Northern Groups (Mole-Dagbani, Gurma, Grusi)",0.235,JUNIOR PARTNER,,,6000,45206000
452,GHA,Ghana,Yes,1966,1969,Asante (Akan),0.15,JUNIOR PARTNER,,,1000,45201000
452,GHA,Ghana,Yes,1966,1969,Ewe,0.13,JUNIOR PARTNER,,,2000,45202000
452,GHA,Ghana,Yes,1966,1969,Ga-Adangbe,0.08,SENIOR PARTNER,,,3000,45203000
452,GHA,Ghana,Yes,1966,1969,Guan,0.045,IRRELEVANT,,,4000,45204000
452,GHA,Ghana,Yes,1970,1971,Other Akans,0.345,SENIOR PARTNER,,,7000,45207000
452,GHA,Ghana,Yes,1970,1971,"Northern Groups (Mole-Dagbani, Gurma, Grusi)",0.235,JUNIOR PARTNER,,,6000,45206000
452,GHA,Ghana,Yes,1970,1971,Asante (Akan),0.15,JUNIOR PARTNER,,,1000,45201000
452,GHA,Ghana,Yes,1970,1971,Ewe,0.13,POWERLESS,,,2000,45202000
452,GHA,Ghana,Yes,1970,1971,Ga-Adangbe,0.08,JUNIOR PARTNER,,,3000,45203000
452,GHA,Ghana,Yes,1970,1971,Guan,0.045,JUNIOR PARTNER,,,4000,45204000
452,GHA,Ghana,Yes,1972,1981,Other Akans,0.345,JUNIOR PARTNER,,,7000,45207000
452,GHA,Ghana,Yes,1972,1981,"Northern Groups (Mole-Dagbani, Gurma, Grusi)",0.235,JUNIOR PARTNER,,,6000,45206000
452,GHA,Ghana,Yes,1972,1981,Asante (Akan),0.15,SENIOR PARTNER,,,1000,45201000
452,GHA,Ghana,Yes,1972,1981,Ewe,0.13,JUNIOR PARTNER,,,2000,45202000
452,GHA,Ghana,Yes,1972,1981,Ga-Adangbe,0.08,JUNIOR PARTNER,,,3000,45203000
452,GHA,Ghana,Yes,1972,1981,Guan,0.045,IRRELEVANT,,,4000,45204000
452,GHA,Ghana,Yes,1982,1999,Other Akans,0.345,JUNIOR PARTNER,,,7000,45207000
452,GHA,Ghana,Yes,1982,1999,"Northern Groups (Mole-Dagbani, Gurma, Grusi)",0.235,JUNIOR PARTNER,,,6000,45206000
452,GHA,Ghana,Yes,1982,1999,Asante (Akan),0.15,JUNIOR PARTNER,,,1000,45201000
452,GHA,Ghana,Yes,1982,1999,Ewe,0.13,SENIOR PARTNER,,,2000,45202000
452,GHA,Ghana,Yes,1982,1999,Ga-Adangbe,0.08,JUNIOR PARTNER,,,3000,45203000
452,GHA,Ghana,Yes,1982,1999,Guan,0.045,IRRELEVANT,,,4000,45204000
452,GHA,Ghana,Yes,2000,2005,Other Akans,0.345,JUNIOR PARTNER,,,7000,45207000
452,GHA,Ghana,Yes,2000,2005,"Northern Groups (Mole-Dagbani, Gurma, Grusi)",0.235,JUNIOR PARTNER,,,6000,45206000
452,GHA,Ghana,Yes,2000,2005,Asante (Akan),0.15,SENIOR PARTNER,,,1000,45201000
452,GHA,Ghana,Yes,2000,2005,Ewe,0.13,JUNIOR PARTNER,,,2000,45202000
452,GHA,Ghana,Yes,2000,2005,Ga-Adangbe,0.08,JUNIOR PARTNER,,,3000,45203000
452,GHA,Ghana,Yes,2000,2005,Guan,0.045,IRRELEVANT,,,4000,45204000
461,TOG,Togo,Yes,1960,1962,Ewe (and related groups),0.44,DOMINANT,,,1000,46101000
461,TOG,Togo,Yes,1960,1962,Kabré (and related groups),0.27,POWERLESS,,,2000,46102000
461,TOG,Togo,Yes,1963,1966,Ewe (and related groups),0.44,SENIOR PARTNER,,,1000,46101000
461,TOG,Togo,Yes,1963,1966,Kabré (and related groups),0.27,JUNIOR PARTNER,,,2000,46102000
461,TOG,Togo,Yes,1967,1990,Ewe (and related groups),0.44,POWERLESS,26400,,1000,46101000
461,TOG,Togo,Yes,1967,1990,Kabré (and related groups),0.27,DOMINANT,,,2000,46102000
461,TOG,Togo,Yes,1991,1991,Ewe (and related groups),0.44,JUNIOR PARTNER,,,1000,46101000
461,TOG,Togo,Yes,1991,1991,Kabré (and related groups),0.27,SENIOR PARTNER,26401,,2000,46102000
461,TOG,Togo,Yes,1992,2005,Ewe (and related groups),0.44,POWERLESS,,,1000,46101000
461,TOG,Togo,Yes,1992,2005,Kabré (and related groups),0.27,DOMINANT,,,2000,46102000
471,CAO,Cameroon,Yes,1960,1982,Bamileke,0.25,JUNIOR PARTNER,,,1000,47101000
471,CAO,Cameroon,Yes,1960,1982,Beti (and related peoples),0.18,JUNIOR PARTNER,,,3000,47103000
471,CAO,Cameroon,Yes,1960,1982,Fulani (and other northern Muslim peoples),0.14,SENIOR PARTNER,,,4000,47104000
471,CAO,Cameroon,Yes,1960,1982,Northwestern Anglophones (Grassfielders),0.12,JUNIOR PARTNER,,,5000,47105000
471,CAO,Cameroon,Yes,1960,1982,Southwestern Anglophones (Bakweri etc.),0.08,JUNIOR PARTNER,,,6000,47106000
471,CAO,Cameroon,Yes,1960,1982,Bassa/Duala,0.08,JUNIOR PARTNER,,,2000,47102000
471,CAO,Cameroon,Yes,1983,2005,Bamileke,0.25,JUNIOR PARTNER,,,1000,47101000
471,CAO,Cameroon,Yes,1983,2005,Beti (and related peoples),0.18,SENIOR PARTNER,,,3000,47103000
